,spotify_rank,song_name,artist,spotify_stream_count,peak_rank,previous_rank,streak_list,list_date
131,132,Dreams - 2004 Remaster,Fleetwood Mac,"263,667",6,139,81,03/16/2022
132,133,Wait a Minute!,WILLOW,"263,553",101,143,5,03/16/2022
133,134,Love Sosa,Chief Keef,"263,009",41,132,61,03/16/2022
134,135,'Till I Collapse,"Eminem, Nate Dogg","262,371",41,133,38,03/16/2022
135,136,Fuck Love (feat. Trippie Redd),"XXXTENTACION, Trippie Redd","261,420",5,137,21,03/16/2022
136,137,Nobody Like U,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Josh Levi, Topher Ngo, Grayson Villanueva","260,807",137,164,3,03/16/2022
137,138,Circles,Post Malone,"259,907",1,140,81,03/16/2022
138,139,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, G Herbo, Lil Durk, 21 Savage","258,541",19,134,160,03/16/2022
139,140,Praise God,Kanye West,"258,458",6,136,81,03/16/2022
140,141,SLOW DANCING IN THE DARK,Joji,"258,254",26,135,81,03/16/2022
141,142,Streets,Doja Cat,"258,176",3,144,81,03/16/2022
142,143,Shoota (feat. Lil Uzi Vert),"Playboi Carti, Lil Uzi Vert","257,836",23,138,81,03/16/2022
143,144,Die For You,The Weeknd,"256,826",72,142,81,03/16/2022
144,145,ay! (feat. Lil Wayne),"Machine Gun Kelly, Lil Wayne","256,786",7,153,13,03/16/2022
145,146,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD","255,356",2,148,37,03/16/2022
146,147,Petty Too (feat. Future),"Lil Durk, Future","255,174",23,105,6,03/16/2022
147,148,HUMBLE.,Kendrick Lamar,"254,907",1,146,55,03/16/2022
148,149,maybe (feat. Bring Me The Horizon),"Machine Gun Kelly, Bring Me The Horizon","254,094",149,—,1,03/16/2022
149,150,All Falls Down,"Kanye West, Syleena Johnson","253,899",106,145,28,03/16/2022
150,151,Don't Play That,"King Von, 21 Savage","253,611",11,141,41,03/16/2022
151,152,It Was A Good Day,Ice Cube,"252,145",91,154,39,03/16/2022
152,153,XO Tour Llif3,Lil Uzi Vert,"251,164",1,152,81,03/16/2022
153,154,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,"251,084",1,150,125,03/16/2022
154,155,Eventually,Tame Impala,"250,643",97,155,11,03/16/2022
155,156,Flashing Lights,"Kanye West, Dwele","248,927",130,157,23,03/16/2022
156,157,The Less I Know The Better,Tame Impala,"248,325",103,167,11,03/16/2022
157,158,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic","247,733",1,160,132,03/16/2022
158,159,The Hills,The Weeknd,"246,868",7,156,25,03/16/2022
159,160,Star Shopping,Lil Peep,"246,545",88,158,18,03/16/2022
160,161,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin","246,377",4,170,30,03/16/2022
161,162,trademark usa,Baby Keem,"246,219",36,151,9,03/16/2022
162,163,Yes Indeed,"Lil Baby, Drake","245,855",2,166,30,03/16/2022
163,164,MIDDLE CHILD,J. Cole,"245,130",1,161,45,03/16/2022
164,165,Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti","244,690",3,159,81,03/16/2022
165,166,this is what falling in love feels like,JVKE,"244,284",122,149,18,03/16/2022
166,167,EARFQUAKE,"Tyler, The Creator","243,721",1,165,25,03/16/2022
167,168,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari","243,689",5,163,74,03/16/2022
168,169,favorite crime,Olivia Rodrigo,"242,109",4,162,81,03/16/2022
169,170,goosebumps,Travis Scott,"240,800",8,169,30,03/16/2022
170,171,Cigarette Daydreams,Cage The Elephant,"239,778",108,175,11,03/16/2022
171,172,Come & Go (with Marshmello),"Juice WRLD, Marshmello","239,498",1,174,81,03/16/2022
172,173,Jocelyn Flores,XXXTENTACION,"239,357",2,172,81,03/16/2022
173,174,Desesperados,"Rauw Alejandro, Chencho Corleone","238,941",112,173,44,03/16/2022
174,175,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear","238,411",9,184,3,03/16/2022
175,176,Poppin,Yeat,"237,982",43,171,10,03/16/2022
176,177,Waiting On A Miracle,Stephanie Beatriz,"235,734",27,176,79,03/16/2022
177,178,The Night We Met,Lord Huron,"233,279",43,177,3,03/16/2022
178,179,Young,Vacations,"233,257",123,180,11,03/16/2022
179,180,Sparks,Coldplay,"233,053",168,168,3,03/16/2022
180,181,Electric Love,BØRNS,"232,597",39,185,80,03/16/2022
181,182,Looking Out for You,Joy Again,"231,656",61,179,11,03/16/2022
182,183,Flower Shops (feat. Morgan Wallen),"ERNEST, Morgan Wallen","231,564",34,181,16,03/16/2022
183,184,'Til You Can't,Cody Johnson,"230,686",127,183,20,03/16/2022
184,185,Wishing Well,Juice WRLD,"228,850",1,186,12,03/16/2022
185,186,love nwantiti (ah ah ah),CKay,"227,806",27,182,81,03/16/2022
186,187,Fancy Like,Walker Hayes,"226,661",20,192,15,03/16/2022
187,188,LA CANCIÓN,"J Balvin, Bad Bunny","225,086",30,189,7,03/16/2022
188,189,Tennessee Whiskey,Chris Stapleton,"225,022",56,197,5,03/16/2022
189,190,She Knows (feat. Amber Coffman & Cults),"J. Cole, Cults, Amber Coffman","224,871",69,188,3,03/16/2022
190,191,telepatía,Kali Uchis,"222,848",3,194,5,03/16/2022
191,192,Hrs and Hrs,Muni Long,"222,744",49,178,68,03/16/2022
192,193,Out of My League,Fitz and The Tantrums,"222,482",183,199,4,03/16/2022
193,194,Cover Me Up,Morgan Wallen,"222,422",23,—,1,03/16/2022
194,195,By Your Side,Rod Wave,"221,629",34,187,3,03/16/2022
195,196,Love & War,Kodak Black,"221,317",85,191,2,03/16/2022
196,197,Watermelon Sugar,Harry Styles,"221,283",3,—,1,03/16/2022
197,198,Neon Guts (feat. Pharrell Williams),"Lil Uzi Vert, Pharrell Williams","221,283",34,198,4,03/16/2022
198,199,Riptide,Vance Joy,"221,196",114,—,1,03/16/2022
199,200,Hope,XXXTENTACION,"221,126",10,—,1,03/16/2022
